Polígono,1,2,3,4,5,6,7,8,9,10,11,12,Total
Vilagarcía B1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vilagarcía B2,0,0,0,0,0,0,0,0,0,0,0,0,0
A Pobra E.1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Pobra E.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Camariñas A,20.0,29.0,31.0,12.0,21.0,5.0,1.0,0,0,0,0,0,119.0
Sada 1,0,0,0,0,28.0,19.0,0,0,0,0,0,0,47.0
Sada 2,0,0,0,15.0,31.0,21.0,0,0,0,0,0,0,67.0
Muros B,0,0,0,0,16.0,4.0,0,0,0,0,0,0,20.0
Muros A,0,0,0,0,16.0,0,0,0,0,0,0,0,16.0
Noia A,0,0,0,0,7.0,0,0,0,0,0,0,0,7.0
Muros C,20.0,27.0,0,0,25.0,7.0,0,0,0,0,0,0,79.0
Ribeira B,0,0,0,0,0,0,0,0,0,0,0,0,0
Ribeira C,0,0,0,0,8.0,0,0,0,0,0,0,0,8.0
A Pobra H,0,0,0,0,0,0,0,0,0,0,0,0,0
A Pobra G,0,0,0,0,0,0,0,0,0,0,0,0,0
A Pobra A,0,0,0,0,0,0,0,0,0,0,0,0,0
A Pobra B,0,0,0,0,0,0,0,0,0,0,0,0,0
A Pobra C,0,0,0,0,0,0,0,0,0,0,0,0,0
A Pobra D,0,0,0,0,0,0,0,0,0,0,0,0,0
Vilagarcía A,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cambados A2, E",0,0,0,0,0,0,0,0,0,0,0,0,0
Cambados A1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambados B,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambados C (Norte),0,0,0,0,0,0,0,0,0,0,0,0,0
Cambados C (Sur),0,0,0,0,0,0,0,0,0,0,0,0,0
Cambados D,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambados D (Ostra),0,0,0,0,0,0,0,0,0,0,0,0,0
Grove A,0,0,0,0,0,0,0,0,0,0,0,0,0
Grove A (Ostra),0,0,0,0,0,0,0,0,0,0,0,0,0
Grove B (Ostra),31.0,29.0,31.0,30.0,31.0,30.0,1.0,0,0,0,0,0,183.0
Grove C1,0,0,0,0,0,0,0,0,0,0,0,0,0
Grove C2,0,0,0,0,10.0,0,0,0,0,0,0,0,10.0
Grove C3,0,0,0,0,0,0,0,0,0,0,0,0,0
Grove C4,0,0,0,0,10.0,0,0,0,0,0,0,0,10.0
Cangas A,0,0,0,0,19.0,11.0,0,0,0,0,0,0,30.0
Cangas B,0,0,0,0,21.0,8.0,0,0,0,0,0,0,29.0
Bueu B,0,14.0,1.0,18.0,23.0,1.0,0,0,0,0,0,0,57.0
Bueu A2,0,4.0,0,16.0,31.0,8.0,0,0,0,0,0,0,59.0
Bueu A1,0,4.0,0,16.0,31.0,8.0,0,0,0,0,0,0,59.0
Portonovo A,0,4.0,0,16.0,31.0,5.0,0,0,0,0,0,0,56.0
Portonovo B,0,0,0,16.0,31.0,5.0,0,0,0,0,0,0,52.0
Portonovo C,0,0,0,16.0,31.0,7.0,0,0,0,0,0,0,54.0
Cangas F,0,0,0,4.0,23.0,20.0,0,0,0,0,0,0,47.0
Cangas G,0,0,0,7.0,25.0,7.0,0,0,0,0,0,0,39.0
Cangas H,0,0,0,0,18.0,7.0,0,0,0,0,0,0,25.0
Cangas C,0,0,0,0,7.0,0,0,0,0,0,0,0,7.0
Cangas D,0,0,0,0,2.0,0,0,0,0,0,0,0,2.0
Cangas E,0,0,0,0,0,0,0,0,0,0,0,0,0
Redondela A,0,0,0,0,0,0,0,0,0,0,0,0,0
Redondela A (Ostra),0,0,0,0,0,0,0,0,0,0,0,0,0
Redondela B,0,0,0,0,0,0,0,0,0,0,0,0,0
Redondela C,0,0,0,0,0,0,0,0,0,0,0,0,0
Redondela D,0,0,0,0,0,0,0,0,0,0,0,0,0
Redondela E,0,0,0,0,0,0,0,0,0,0,0,0,0
Vigo A,0,0,0,0,0,0,0,0,0,0,0,0,0
Baiona A,0,14.0,31.0,30.0,31.0,30.0,1.0,0,0,0,0,0,137.0
